Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
Facebook post,2014-12-15 04:02:10,"Andrea Scott","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/1771532310/posts/10200162152854497,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-12 19:52:07,"Mônica Ferreira Do Nascimento","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/1463600253/posts/10203394652974715,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-11 23:16:49,"Biosfera Itinerari","Novataxa | Species New to Science",Italy,"",https://www.facebook.com/permalink.php?story_fbid=809406502454140&id=604657566262369,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-10 21:32:59,"Natural Selection",,,"",https://www.facebook.com/permalink.php?story_fbid=10152442728051244&id=51821321243,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-06 13:28:40,"Elvalle Bill","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/100005240442784/posts/331288920389120,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-05 18:40:28,"Dimitris Karayiannis","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/100000293537284/posts/898478936838549,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-05 12:59:51,"Jaci Junior","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/100006298236611/posts/1581381382081788,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-05 07:20:18,"Sébastien Lacomblez","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/808372426/posts/10152862462192427,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-05 00:37:46,"Leonardo Torres","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/100000791155343/posts/784759494893748,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
Facebook post,2014-12-05 00:30:39,"João Batista Torres Rocha","New-World Wildlife & #Birding | America & Neotropical",,"",https://www.facebook.com/100002127177245/posts/756737531073812,,"A comprehensive multilocus phylogeny of the Neotropical cotingas (Cotingidae, Aves) with a comparative evolutionary analysis of breeding system and plumage dimorphism and a revised phylogenetic classification","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics; 3109 Zoology","Yale University",2014-09-16,77,https://www.altmetric.com/details/2687291,10.1016/j.ympev.2014.09.001,,,,25234241,,"",,,,,,"Elsevier BV"
