Mention Type,Mention Date,Outlet or Author,Mention Title,Country,External Mention ID,Mention URL,Sentiment Analysis,Research Output Title,Journal/Collection Title,Authors at my Institution,Departments,Output Type,Subjects (FoR),Affiliations (GRID),Publication Date,Altmetric Attention Score,Details Page URL,DOI,ISBN,National Clinical Trial ID,URI,PubMed ID,PubMedCentral ID,Handle.net IDs,ADS Bibcode,arXiv ID,RePEc ID,SSRN,URN,Publisher Names
X Post,"","2411820913","","",1461042670898491402,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","718533716323233793","","",1461033557061681160,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","230824016","","",1461033139380314119,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1173779402754351106","","",1461031536971628548,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","3108233650","","",1461030687641903104,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","3110190151","","",1461030490857787404,"",Neutral positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","1292500917296730112","","",1461029245778604039,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","561608343","","",1461028345341104129,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","703338166951002112","","",1461024989092757517,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
X Post,"","3214623641","","",1461019015699058695,"",Positive,"Genomic phylogeography of the White-crowned Manakin Pseudopipra pipra (Aves: Pipridae) illuminates a continental-scale radiation out of the Andes","Molecular Phylogenetics & Evolution",,,Article,"31 Biological Sciences; 3103 Ecology; 3104 Evolutionary Biology; 3105 Genetics","City College of New York; Cornell University; National Institute of Amazonian Research; National Museum of Natural History, Washington D.C., United States; The Graduate Center, CUNY; University of Michigan–Ann Arbor; Yale University",2021-05-18,89,https://www.altmetric.com/details/106176541,10.1016/j.ympev.2021.107205,,,,34015448,,"",,,,,,"Elsevier BV"
